76,88,Avon Lightwood,60,8,1f,Elegant,7,4,6,3,4.152
77,88,Atticus Manor,72,9,3m,Mattio,Victor,1,1,4,4.130
78,88,Xanthus Grimm,64,8,1m,Elegant,7,4,10,1,4.078
79,88,Emberly Lowe,76,9,10f,Briar,8,3,8,3,3.928
80,87,Gage Cooper,58,8,3m,Damen,5,6,8,3,3.916
81,87,Jenoah Rasoio,74,8,8m,Frankel,6,7,7,3,3.745
82,87,Machaon Amador,73,8,8m,Python,7,4,7,2,3.717
83,87,Lethe Turner,58,8,5f,Rosetta,Victor,1,4,2,3.700
84,87,Orion Hammerfell,70,8,2m,Cato,7,4,9,1,3.680
85,87,Sundra Wie,59,7,5f,Shrimp,7,4,8,1,3.654
86,86,Pyrian Keeni,63,8,6m,Python,8,4,8,1,3.654
87,86,Pearl Millison,68,9,1f,Python,6,6,9,2,3.605
88,86,Ingrid Elwyn,67,8,11f,Python,6,8,7,3,3.601
89,86,Dicentra Gambler,58,8,6m,Plantix,6,5,8,2,3.599
90,86,Wyatt Manderson,69,8,7m,Dee,5,8,10,2,3.590
91,86,Galaxy Rose-Clements,68,9,6f,Shrimp,9,2,5,2,3.582
92,86,Razor Creel,58,8,2m,Charade,8,2,7,1,3.545
93,85,Celia Mortuus,72,9,12f,Avalon,7,6,8,2,3.538
94,85,Alexis Rondhal,69,8,4m,Dars,5,9,10,2,3.446
95,85,Storm Wie,57,8,5m,Dee,6,4,7,2,3.346
96,85,Sol Shim,72,9,5m,Arcticwoof,7,8,6,3,3.286
97,85,Cynthia Rose Delgado,77,8,1f,Lancelot,8,2,8,2,3.241
98,85,Raven Sayer,78,9,7m,Griffin,9,2,8,2,3.241
99,84,Samira Hart,74,8,5f,Zoe,6,5,7,2,3.202
100,84,Katie Morven,57,8,3f,Phunke,8,2,4,2,3.184
101,84,Jae Moreno,61,8,1m,Thundy,7,5,6,2,3.175
102,84,Beretta Corléon,71,9,2f,Lalia,8,5,10,0,3.143
103,84,Berkley Ichabod,59,7,8m,Eastern,6,5,6,2,3.122
104,84,Alexandre Dupont,74,8,5m,Fox,6,6,5,3,3.094
105,83,Lucy Peverell,65,8,12f,Clover,7,3,5,2,3.067
106,83,Daria Staite,71,9,4f,Ali,8,6,8,1,3.035
107,83,Teddy Ursa,76,9,6m,Tom,Victor,1,5,3,3.024
